DRAW -0.131232 0.306137 1.000000
DRAW -0.139534 0.301014 1.000000
DRAW -0.147869 0.295927 1.000000
DRAW -0.156138 0.290769 1.000000
DRAW -0.164569 0.285794 1.000000
DRAW -0.172744 0.280527 1.000000
DRAW -0.181044 0.275403 1.000000
DRAW -0.189345 0.270280 1.000000
DRAW -0.197621 0.265102 1.000000
DRAW -0.204737 0.258086 1.000000
DRAW -0.213030 0.252955 1.000000
DRAW -0.221332 0.247833 1.000000
DRAW -0.228413 0.240752 1.000000
DRAW -0.236715 0.235629 1.000000
DRAW -0.243795 0.228549 1.000000
DRAW -0.252097 0.223427 1.000000
DRAW -0.259178 0.216346 1.000000
DRAW -0.266399 0.209429 1.000000
DRAW -0.274560 0.204144 1.000000
DRAW -0.281640 0.197063 1.000000
DRAW -0.288721 0.189983 1.000000
DRAW -0.295801 0.182903 1.000000
DRAW -0.302882 0.175822 1.000000
DRAW -0.309962 0.168742 1.000000
DRAW -0.317042 0.161661 1.000000
DRAW -0.324123 0.154581 1.000000
DRAW -0.331203 0.147501 1.000000
DRAW -0.338233 0.140396 1.000000
DRAW -0.343406 0.132118 1.000000
DRAW -0.350486 0.125038 1.000000
DRAW -0.355754 0.116863 1.000000
DRAW -0.362689 0.109655 1.000000
DRAW -0.367812 0.101353 1.000000
DRAW -0.372934 0.093051 1.000000
DRAW -0.380015 0.085971 1.000000
DRAW -0.385154 0.077685 1.000000
DRAW -0.389397 0.068915 1.000000
DRAW -0.392477 0.059776 1.000000
DRAW -0.393573 0.053002 1.000000
DRAW -0.385703 0.058952 1.000000
DRAW -0.375721 0.059227 1.000000
DRAW -0.367434 0.054072 1.000000
DRAW -0.360354 0.046992 1.000000
DRAW -0.355470 0.038489 1.000000
DRAW -0.350109 0.030388 1.000000
DRAW -0.344657 0.022248 1.000000
DRAW -0.337907 0.015006 1.000000
DRAW -0.330866 0.007888 1.000000
DRAW -0.325703 -0.000377 1.000000
DRAW -0.318623 -0.007457 1.000000
DRAW -0.310391 -0.012657 1.000000
DRAW -0.303241 -0.019660 1.000000
DRAW -0.296111 -0.026637 1.000000
DRAW -0.287859 -0.031863 1.000000
DRAW -0.279556 -0.036985 1.000000
DRAW -0.271256 -0.042108 1.000000
DRAW -0.262369 -0.046147 1.000000
DRAW -0.253551 -0.050532 1.000000
DRAW -0.245014 -0.055283 1.000000
DRAW -0.235884 -0.058412 1.000000
DRAW -0.226756 -0.061560 1.000000
DRAW -0.217629 -0.064724 1.000000
DRAW -0.208503 -0.067901 1.000000
DRAW -0.198490 -0.067901 1.000000
DRAW -0.188476 -0.067901 1.000000
DRAW -0.178463 -0.067901 1.000000
DRAW -0.168450 -0.067901 1.000000
DRAW -0.159311 -0.064908 1.000000
DRAW -0.154031 -0.062464 1.000000
DRAW -0.163158 -0.065626 1.000000
DRAW -0.173171 -0.065644 1.000000
DRAW -0.183184 -0.065644 1.000000
DRAW -0.193197 -0.065644 1.000000
DRAW -0.203061 -0.064656 1.000000
DRAW -0.212335 -0.062424 1.000000
DRAW -0.221463 -0.059273 1.000000
DRAW -0.230514 -0.055590 1.000000
DRAW -0.239659 -0.052532 1.000000
DRAW -0.248521 -0.048239 1.000000
DRAW -0.257001 -0.043331 1.000000
DRAW -0.266020 -0.039498 1.000000
DRAW -0.273885 -0.033640 1.000000
DRAW -0.282825 -0.029544 1.000000
DRAW -0.290202 -0.022827 1.000000
DRAW -0.298064 -0.017137 1.000000
DRAW -0.305584 -0.010624 1.000000
DRAW -0.312665 -0.003544 1.000000
DRAW -0.320967 0.001578 1.000000
DRAW -0.326284 0.009786 1.000000
DRAW -0.333170 0.016961 1.000000
DRAW -0.340250 0.024041 1.000000
DRAW -0.345397 0.032331 1.000000
DRAW -0.352442 0.039434 1.000000
DRAW -0.357152 0.048065 1.000000
DRAW -0.362608 0.056108 1.000000
DRAW -0.367084 0.064879 1.000000
DRAW -0.370857 0.073912 1.000000
DRAW -0.370489 0.083887 1.000000
DRAW -0.366188 0.092745 1.000000
DRAW -0.359301 0.099992 1.000000
DRAW -0.353833 0.108011 1.000000
DRAW -0.347099 0.115374 1.000000
DRAW -0.340018 0.122454 1.000000
DRAW -0.332938 0.129535 1.000000
DRAW -0.327815 0.137837 1.000000
DRAW -0.320735 0.144918 1.000000
DRAW -0.313654 0.151998 1.000000
DRAW -0.306574 0.159078 1.000000
DRAW -0.299494 0.166159 1.000000
DRAW -0.292414 0.173239 1.000000
DRAW -0.285333 0.180319 1.000000
DRAW -0.278252 0.187400 1.000000
DRAW -0.271044 0.194333 1.000000
DRAW -0.262871 0.199602 1.000000
DRAW -0.255790 0.206683 1.000000
DRAW -0.248709 0.213763 1.000000
DRAW -0.240408 0.218885 1.000000
DRAW -0.233327 0.225966 1.000000
DRAW -0.225025 0.231088 1.000000
DRAW -0.217945 0.238169 1.000000
DRAW -0.209788 0.243587 1.000000
DRAW -0.202562 0.250371 1.000000
DRAW -0.194606 0.256169 1.000000
DRAW -0.185958 0.260616 1.000000
DRAW -0.178733 0.267530 1.000000
DRAW -0.170572 0.272814 1.000000
DRAW -0.161243 0.275501 1.000000
DRAW -0.151613 0.273661 1.000000
DRAW -0.145014 0.266242 1.000000
DRAW -0.141115 0.257240 1.000000
DRAW -0.139018 0.247926 1.000000
DRAW -0.136039 0.238748 1.000000
DRAW -0.130690 0.230634 1.000000
DRAW -0.125542 0.222355 1.000000
DRAW -0.117470 0.216958 1.000000
DRAW -0.109433 0.211904 1.000000
DRAW -0.100307 0.208728 1.000000
DRAW -0.090781 0.206575 1.000000
DRAW -0.081414 0.206158 1.000000
DRAW -0.072041 0.208728 1.000000
DRAW -0.062913 0.211866 1.000000
DRAW -0.054782 0.216620 1.000000
DRAW -0.046616 0.221898 1.000000
DRAW -0.040028 0.229226 1.000000
DRAW -0.035970 0.238179 1.000000
DRAW -0.031241 0.246797 1.000000
